loyalty_number,province,gender,education,salary,marital_status,loyalty_card,customer_lifetime_value,enrollment_type,total_flights,engagement_status,lifespan,enrollment_date
100018,Alberta,Female,Bachelor,92552.0,Married,Aurora,7919.2,Standard,46,Engaged,2,2016-08-01
100102,Ontario,Male,College,66801.5,Single,Nova,2887.74,Standard,51,Engaged,5,2013-03-01
100140,British Columbia,Female,College,67178.0,Divorced,Nova,2838.07,Standard,47,Engaged,2,2016-07-01
100214,British Columbia,Male,Bachelor,63253.0,Married,Star,4170.57,Standard,22,Engaged,3,2015-08-01
100272,Ontario,Female,Bachelor,91163.0,Divorced,Star,6622.05,Standard,37,Engaged,4,2014-01-01
100301,Ontario,Male,Bachelor,70323.0,Divorced,Nova,48356.96,Standard,41,Engaged,5,2013-09-01
100364,Saskatchewan,Male,Bachelor,76849.0,Married,Nova,5143.88,Standard,33,Engaged,3,2015-05-01
100380,Quebec,Female,Bachelor,69695.0,Single,Star,2465.62,Standard,33,Engaged,6,2012-10-01
100428,British Columbia,Male,Bachelor,63478.0,Married,Aurora,5845.43,Standard,35,Engaged,6,2012-08-01
100550,Quebec,Female,Bachelor,54133.0,Married,Nova,7861.8,Standard,42,Engaged,5,2013-02-01
100585,Manitoba,Male,Bachelor,96269.0,Divorced,Star,7334.33,Standard,41,Engaged,5,2013-11-01
100590,British Columbia,Female,Bachelor,69841.0,Married,Star,34090.04,2018 Promotion,28,Engaged,0,2018-03-01
100642,Quebec,Female,Bachelor,51667.0,Married,Nova,4892.63,Standard,36,Engaged,6,2012-05-01
100644,Alberta,Female,Master,94440.0,Divorced,Star,4458.11,Standard,29,Engaged,3,2015-07-01
100646,Newfoundland,Female,Bachelor,101933.0,Married,Star,2471.53,Standard,30,Engaged,3,2015-10-01
100727,Quebec,Male,Master,128118.0,Married,Nova,3873.65,Standard,48,Engaged,4,2014-03-01
100737,British Columbia,Female,College,67178.0,Single,Star,12786.67,Standard,47,Engaged,1,2017-04-01
100753,Quebec,Male,Bachelor,47717.0,Divorced,Star,2534.31,Standard,51,Engaged,3,2015-10-01
100816,Ontario,Female,Master,97497.0,Divorced,Aurora,6273.91,Standard,31,Engaged,5,2013-03-01
100853,Ontario,Male,College,66801.5,Married,Star,10153.89,Standard,39,Engaged,2,2016-01-01
100883,Manitoba,Female,College,67178.0,Single,Star,3561.04,Standard,34,Engaged,5,2013-06-01
100890,Ontario,Female,College,67178.0,Divorced,Nova,8007.4,Standard,27,Engaged,4,2014-08-01
101018,Ontario,Female,Bachelor,56523.0,Married,Nova,4392.98,Standard,41,Engaged,4,2014-04-01
101148,British Columbia,Female,High School or Below,45229.0,Single,Nova,4770.55,Standard,30,Engaged,6,2012-11-01
101356,Ontario,Male,Bachelor,50688.0,Married,Nova,7482.64,Standard,0,Disengaged,6,2012-11-01
101363,New Brunswick,Female,Bachelor,59310.0,Married,Star,12898.59,Standard,31,Engaged,2,2016-04-01
101487,Quebec,Male,Bachelor,91817.0,Married,Aurora,14024.36,Standard,56,Engaged,6,2012-12-01
